Tarefa,Região (PCI),Localidade Específica,Responsável - Sec. / Órgão,Última Atualização,Tipo,Status,Data Inicial (Prog. / Interv.),Data Final (Prog. / Interv.),Possui Dados de Gênero,Possui Dados de Cor/Raça,Possui Dados Etários,Possui Dados de Renda,Possui Dados de Escolaridade,Possui Dados de Programas Sociais,Possui Dados de Estado Civil,Possui Dados de Pessoas Com Deficiência (PCD),Possui Dados Quantitativos de Filhos,Média Atendidos (Mensal),Qtd. Total
Associação Capoeira da Verdade - Adutos,PPG,Ciep Presidente João Goulart,Associação Capoeira da Verdade,12/05/2026,Contínua,Em execução,,,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,,
Associação Capoeira da Verdade - Crianças,PPG,Ciep Presidente João Goulart,Associação Capoeira da Verdade,12/05/2026,Contínua,Em execução,,,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,,
MUF - Museu de Favela,PPG,Ciep Presidente João Goulart,,12/05/2026,Contínua,Em execução,,,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,,
Jiu Jitsu - Tererê Kids,PPG,Ciep Presidente João Goulart,Tererê Kids,12/05/2026,Contínua,Em execução,,,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,60,
Acolher - Basquete,PPG,Ciep Presidente João Goulart,Confederação Nacional dos Bispos do Brasil (CNBB),12/05/2026,Contínua,Em execução,,,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,,
Acolher - Ginástica,PPG,Ciep Presidente João Goulart,Confederação Nacional dos Bispos do Brasil (CNBB),12/05/2026,Contínua,Em execução,,,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,,
Acolher - Futsal,PPG,Ciep Presidente João Goulart,Confederação Nacional dos Bispos do Brasil (CNBB),12/05/2026,Contínua,Em execução,,,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,,
Acolher - Judô,PPG,Ciep Presidente João Goulart,Confederação Nacional dos Bispos do Brasil (CNBB),12/05/2026,Contínua,Em execução,,,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,,
Jiu Jitsu Cantagalo - Adolescentes,PPG,Ciep Presidente João Goulart,Projeto Social Cantagalo,12/05/2026,Contínua,Em execução,,,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,,
Jiu Jitsu Cantagalo - Adultos,PPG,Ciep Presidente João Goulart,Projeto Social Cantagalo,12/05/2026,Contínua,Em execução,,,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,,
Patota do Galo,PPG,Ciep Presidente João Goulart,Patota do Galo,12/05/2026,Contínua,Em execução,,,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,,
CRJ - Academia de Dança Styllus,PPG,Ciep Presidente João Goulart,Secretaria Intergeracional de Juventude e Envelhecimento Saudável,12/05/2026,Contínua,Em execução,,,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,,
Ballet - Dançando Para Não Dançar,PPG,Ciep Presidente João Goulart,Dançando Para Não Dançar,12/05/2026,Contínua,Em execução,,,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,,
Capoterapia,PPG,Ciep Presidente João Goulart,,12/05/2026,Contínua,Em execução,,,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,,
Funcional do Pavão,PPG,Ciep Presidente João Goulart,,12/05/2026,Contínua,Em execução,,,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,,
Projeto Laço Rosa - Costura,PPG,Ciep Presidente João Goulart,Fundação Laço Rosa,12/05/2026,Contínua,Em execução,,,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,,
Conservatório de Dança e Arte - Ballet,PPG,Ciep Presidente João Goulart,Conservatório de Arte e Dança,12/05/2026,Contínua,Em execução,,,Aguardando Informação,Aguardando Informação,Sim,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,,
Conservatório de Dança e Arte - Ginástica,PPG,Ciep Presidente João Goulart,Conservatório de Arte e Dança,12/05/2026,Contínua,Em execução,,,Aguardando Informação,Aguardando Informação,Sim,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,,
CRJ - Design de Sobrancelhas,PPG,Ciep Presidente João Goulart,Secretaria Intergeracional de Juventude e Envelhecimento Saudável,12/05/2026,Contínua,Em execução,,,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,,
CRJ - Design de Unhas,PPG,Ciep Presidente João Goulart,Secretaria Intergeracional de Juventude e Envelhecimento Saudável,12/05/2026,Contínua,Em execução,,,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,,
CRJ - Lash Designer,PPG,Ciep Presidente João Goulart,Secretaria Intergeracional de Juventude e Envelhecimento Saudável,12/05/2026,Contínua,Em execução,,,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,,
CRJ - Tranças e Penteados,PPG,Ciep Presidente João Goulart,Secretaria Intergeracional de Juventude e Envelhecimento Saudável,12/05/2026,Contínua,Em execução,,,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,,
CRJ - Drone,PPG,Ciep Presidente João Goulart,Secretaria Intergeracional de Juventude e Envelhecimento Saudável,12/05/2026,Contínua,Em execução,,,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,,
CRJ - Fotografia,PPG,Ciep Presidente João Goulart,Secretaria Intergeracional de Juventude e Envelhecimento Saudável,12/05/2026,Contínua,Em execução,,,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,,
CRJ - Edição de Vídeo,PPG,Ciep Presidente João Goulart,Secretaria Intergeracional de Juventude e Envelhecimento Saudável,12/05/2026,Contínua,Em execução,,,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,,
CRJ - Informática,PPG,Ciep Presidente João Goulart,Secretaria Intergeracional de Juventude e Envelhecimento Saudável,12/05/2026,Contínua,Em execução,,,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,,
CRJ - Pintura de Tela,PPG,Ciep Presidente João Goulart,Secretaria Intergeracional de Juventude e Envelhecimento Saudável,12/05/2026,Contínua,Em execução,,,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,,
CRJ - Kickboxing,PPG,Ciep Presidente João Goulart,Secretaria Intergeracional de Juventude e Envelhecimento Saudável,12/05/2026,Contínua,Em execução,,,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,,
CRJ - Funcional,PPG,Ciep Presidente João Goulart,Secretaria Intergeracional de Juventude e Envelhecimento Saudável,12/05/2026,Contínua,Em execução,,,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,,
CRJ - Free Fire,PPG,Ciep Presidente João Goulart,Secretaria Intergeracional de Juventude e Envelhecimento Saudável,12/05/2026,Contínua,Em execução,,,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,Aguardando Informação,,
